Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burkina Faso,46.11,44.46,44.2,48.45,48.85,49.21,52.55,52.95,53.32,53.7,54.07,54.43,54.78,54.78,54.78
Ireland,77.17,77.35,77.36,77.56,77.73,77.9,78.07,78.24,80.07,80.19,80.32,80.44,80.56,80.56,80.56
Bangladesh,60.92,61.33,61.71,62.08,62.46,62.84,63.21,60.25,69.44,69.75,70.06,70.36,70.65,70.65,70.65
Kenya,47.02,45.22,44.94,47.99,48.93,55.31,56.64,57.86,58.82,59.48,63.07,63.29,63.52,63.52,63.52
Chile,76.14,76.35,76.38,76.58,76.77,76.96,77.15,77.34,77.53,77.7,78.1,78.27,78.44,78.44,78.44
Sri Lanka,72.35,72.62,72.89,73.17,73.41,74.8,74.97,75.14,75.3,75.73,75.94,76.15,76.35,76.35,76.35
Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,60.79,61.18,61.57,61.96,62.33,62.73,63.1,63.47,63.83,64.2,62.74,63.12,63.48,63.48,63.48
Algeria,70.24,70.54,72.74,73.0,73.26,73.52,73.77,74.02,74.26,74.5,74.73,76.18,76.39,76.39,76.39
Serbia and Montenegro,73.72,73.97,74.4,74.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,68.56,68.88,69.2,69.53,69.82,70.12,70.44,70.73,71.03,71.31,71.59,71.87,72.15,72.15,72.15
Mauritania,51.53,51.93,52.32,52.73,53.12,53.51,53.91,60.37,60.75,61.14,61.53,61.91,62.28,62.28,62.28
Saint Lucia,72.82,73.08,73.34,73.61,73.84,74.08,76.25,76.45,76.65,76.84,77.04,77.22,77.41,77.41,77.41
Germany,77.78,78.42,78.54,78.65,78.8,78.95,79.1,79.26,79.41,80.07,80.19,80.32,80.44,80.44,80.44
