Country,Country_code,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,CHN,BUPPSRY,0,0,0,0,0,0,0,0,0,0,75.53817,0,0,0,0,0,0
China,CHN,TRY,0,0,0,0,0,0,0,0,0,0,9.6811743,0,0,0,0,0,0
China,CHN,UPPSRY,0,0,0,0,0,0,0,0,0,0,14.780653,0,0,0,0,0,0
Colombia,COL,BUPPSRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.033009,49.589104,47.523586
Colombia,COL,TRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.356598,21.562889,22.247128
Colombia,COL,UPPSRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.610394,28.848007,30.229284
Estonia,EST,BUPPSRY,14.751366,13.769239,13.215323,12.355169,11.743241,11.341643,11.717903,11.159678,11.692819,11.327562,10.864561,10.989735,10.076135,9.4806528,11.895004,11.442164,11.10444
Estonia,EST,TRY,28.669167,29.479181,29.358723,29.649635,30.712088,33.025089,33.118874,33.146008,34.176804,36.065544,35.423084,36.889767,37.605877,37.345535,37.499954,38.030697,38.756851
Estonia,EST,UPPSRY,56.579468,56.751579,57.425953,57.995193,57.54467,55.633266,55.163223,55.694317,54.130379,52.606895,53.712353,52.120499,52.317989,53.173813,50.605042,50.527138,50.13871
Indonesia,IDN,BUPPSRY,0,0,0,0,0,0,0,0,0,70.924507,69.701653,0,0,67.339325,0,64.371925,0
Indonesia,IDN,TRY,0,0,0,0,0,0,0,0,0,6.3977652,6.9766955,0,0,8.2879791,0,9.767416,0
Indonesia,IDN,UPPSRY,0,0,0,0,0,0,0,0,0,22.677727,23.321655,0,0,24.372694,0,25.860661,0
Israel,ISR,BUPPSRY,0,0,19.664862,18.085173,0,21.065123,0,19.584095,18.767063,18.222622,17.935621,16.986902,15.451829,15.01176,14.64511,14.464885,13.231215
Israel,ISR,TRY,0,0,42.090389,42.89489,0,43.047825,0,43.58707,43.980537,44.880913,45.560074,46.396889,46.441711,47.421043,48.53273,48.824478,49.895348
Israel,ISR,UPPSRY,0,0,38.244751,39.019939,0,35.887051,0,36.828835,37.252399,36.896465,36.504307,36.616207,38.106457,37.567196,36.822159,36.710636,36.87344
Latvia,LVA,BUPPSRY,16.759621,20.794182,17.904789,17.03433,15.678306,15.580102,15.870779,15.36415,14.141485,13.22369,11.396096,12.062219,10.897214,10.645624,13.338798,12.217953,11.318077
Latvia,LVA,TRY,18.218046,17.809738,18.869808,17.920399,19.785511,20.293005,20.919746,22.18199,24.822483,25.846195,26.946114,27.69327,29.227177,31.011995,30.230137,31.591949,33.361481
Latvia,LVA,UPPSRY,65.022331,61.39608,63.225403,65.045273,64.536186,64.126892,63.209473,62.453861,61.03603,60.930115,61.657791,60.244511,59.87561,58.342381,56.431065,56.190098,55.320442
Russian Federation,RUS,BUPPSRY,0,0,0,0,0,0,0,0,0,0,6.1387649,5.9676595,7.9089346,5.320745,5.2264862,5.0550456,0
Russian Federation,RUS,TRY,0,0,0,0,0,0,0,0,0,0,53.125851,53.631615,51.257603,54.302578,54.775558,55.595825,0
Russian Federation,RUS,UPPSRY,0,0,0,0,0,0,0,0,0,0,40.735386,40.400726,40.833462,40.376678,39.997955,39.349129,0
Slovenia,SVN,BUPPSRY,25.176582,0,22.982054,21.86058,20.331007,19.703846,18.436632,18.181656,17.956785,16.713486,16.689947,15.523709,15.027221,14.546692,14.274657,13.213673,12.65544
Slovenia,SVN,TRY,15.726464,0,15.257369,17.744364,19.040981,20.171976,21.387041,22.227602,22.637665,23.315817,23.716619,25.09059,26.439035,27.880541,28.600916,30.173296,30.735788
Slovenia,SVN,UPPSRY,59.096954,0,61.760578,60.395054,60.628014,60.12418,60.176327,59.590744,59.405548,59.970695,59.593433,59.3857,58.533745,57.572769,57.124428,56.613033,56.608772
South Africa,ZAF,BUPPSRY,0,0,0,0,0,0,0,0,62.794827,61.475948,60.558964,59.782627,72.698296,58.156082,57.014969,57.019611,0
South Africa,ZAF,TRY,0,0,0,0,0,0,0,0,10.943794,11.162827,11.185801,11.748121,11.286331,11.756497,11.881942,12.037875,0
South Africa,ZAF,UPPSRY,0,0,0,0,0,0,0,0,26.261377,27.361225,28.255238,28.469254,16.015375,30.087421,31.103088,30.942513,0
