Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Pitcairn Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,5.1%,5.1%,6.1%,6.2%,5.7%,3.8%,2.8%,1.8%,4.2%,6%,6.4%,6%,6%,6%,6%
New Zealand,5.5%,5.3%,4.7%,4.2%,3.7%,3.8%,3.6%,4.2%,6.5%,6.5%,6.5%,6.9%,6.4%,6.4%,6.4%
Brunei,10%,10%,10%,3.2%,4.8%,4%,4%,3.7%,3.7%,3.7%,2.7%,2.6%,2.6%,2.6%,2.6%
Dominican Republic,15%,14.5%,16.5%,17%,17%,16%,15.6%,14.1%,14.2%,13.3%,14.7%,14.3%,15%,15%,15%
Madagascar,NA,5.9%,5.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanuatu,NA,NA,NA,NA,NA,1.7%,1.7%,1.7%,1.7%,1.7%,1.7%,1.7%,1.7%,1.7%,1.7%
Kosovo,NA,NA,NA,NA,NA,NA,43%,40%,16.6%,45%,45.3%,45.3%,30.9%,30.9%,30.9%
Macau,6.5%,6.3%,6.3%,4.7%,4.1%,4.1%,3.1%,3%,3.6%,2.9%,2%,2%,1.8%,1.8%,1.8%
Bermuda,4.5%,4.5%,5%,5%,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,8%,8%,8%,8%
Malaysia,3.7%,3.8%,3.6%,3%,3.6%,3.5%,3.2%,3.3%,3.5%,3.4%,3%,3%,3.1%,3.1%,3.1%
Slovenia,11%,11%,11.2%,6.4%,6.3%,9.6%,7.7%,6.7%,10.6%,10.7%,12.3%,12%,13.1%,13.1%,13.1%
Morocco,23%,19%,19%,12.1%,11%,7.7%,9.8%,9.5%,9.8%,9.1%,8.8%,9%,9.5%,9.5%,9.5%
New Caledonia,19%,19%,19%,19%,17.1%,17.1%,17.1%,17.1%,17.1%,17.1%,17.1%,17.1%,17.1%,17.1%,17.1%
Algeria,34%,31%,26.2%,25.4%,17.1%,15.7%,11.8%,12.8%,9.9%,10%,10.2%,10.7%,10.3%,10.3%,10.3%
"Congo, Democratic Republic of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,10%,10%,10.7%,10.7%,10.7%,10.7%,10.7%,10.7%,10.7%,10.7%,11.2%,11.6%,11.4%,11.4%,11.4%
Chile,10.1%,9.2%,8.5%,8.5%,8.1%,7.8%,7%,7.8%,8.7%,7.1%,6.4%,6.3%,6%,6%,6%
Cyprus,NA,NA,NA,NA,NA,NA,3.9%,3.6%,6%,4.6%,8%,11.9%,17.4%,17.4%,17.4%
Bhutan,NA,NA,NA,NA,NA,2.5%,2.5%,2.5%,4%,4%,4%,4%,2.1%,2.1%,2.1%
Fiji,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%,7.6%
Dominica,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%
Azerbaijan,16%,16%,1.1%,1.2%,1.1%,1.2%,1%,0.9%,0.9%,1%,1%,5.7%,6%,6%,6%
Bosnia and Herzegovina,40%,40%,40%,44%,45.5%,45.5%,45.5%,29%,27.2%,43.1%,43.3%,44.1%,44.3%,44.3%,44.3%
